case,method,seed,success,energy,exact,rel_error_percent,max_rel_error_percent,nodes,nodes_expected,subspace_weight,parity_score,runtime_s,failure_mode
ellipse split,symmetry_sectors,3,False,,,6.828310740720257,26.587891360677343,,,,1.0,37.61364221572876,branch drift/missing parity sector
1D n=5,residual,4,False,45.89532107610213,246.74011002723395,81.3993269796968,81.3993269796968,1.0,4.0,,,1.3156089782714844,wrong nodes/lower-state collapse
1D n=5,penalty,4,False,9.87287611686818,246.74011002723395,95.99867402353898,95.99867402353898,0.0,4.0,,,0.9045548439025879,wrong nodes/lower-state collapse
1D n=5,projection,4,False,245.24025280617292,246.74011002723395,0.607869235729646,0.607869235729646,4.0,4.0,,,1.5782318115234375,energy error
disk m=1,state_by_state,4,False,15.988159108905135,14.681970642123895,8.896547327466163,8.896547327466163,,,0.9869834893088371,,3.7414462566375732,energy error
disk m=1,subspace_ritz,4,False,11.255351126718377,14.681970642123895,39.116953686263265,39.116953686263265,,,0.001196428993382051,,8.193193912506104,low subspace weight
ellipse split,generic_subspace,4,False,,,32.156280364849906,66.53247847755887,,,,0.0,23.597719192504883,branch drift/missing parity sector
ellipse split,symmetry_sectors,4,False,,,20.317945854644318,50.463763645829786,,,,0.6,37.696908950805664,branch drift/missing parity sector
1D n=5,residual,5,False,9.869605009069991,246.74011002723395,95.99999975359474,95.99999975359474,0.0,4.0,,,1.4113478660583496,wrong nodes/lower-state collapse
1D n=5,penalty,5,False,9.870104290309834,246.74011002723395,95.99979740252998,95.99979740252998,0.0,4.0,,,0.8977687358856201,wrong nodes/lower-state collapse
1D n=5,projection,5,False,245.18922147403438,246.74011002723395,0.6285514556301328,0.6285514556301328,4.0,4.0,,,1.5447709560394287,energy error
disk m=1,state_by_state,5,False,15.572950881734918,14.681970642123895,6.068533041843313,6.068533041843313,,,0.986755858417252,,3.744403123855591,energy error
disk m=1,subspace_ritz,5,False,11.277371111004536,14.681970642123895,33.721172261911505,33.721172261911505,,,2.367212849717121e-06,,8.41538405418396,low subspace weight
ellipse split,generic_subspace,5,False,,,35.953368094644574,87.71679163584244,,,,0.0,23.546831846237183,branch drift/missing parity sector
ellipse split,symmetry_sectors,5,False,,,15.47154993481664,41.139837486414166,,,,0.2,37.37333035469055,branch drift/missing parity sector
1D n=5,residual,6,False,342.97058024731416,246.74011002723395,39.00074058062905,39.00074058062905,5.0,4.0,,,1.3278331756591797,wrong nodes/lower-state collapse
1D n=5,penalty,6,False,9.870548496620952,246.74011002723395,95.99961737249306,95.99961737249306,0.0,4.0,,,0.8953237533569336,wrong nodes/lower-state collapse
1D n=5,projection,6,False,245.1588492770738,246.74011002723395,0.6408608434135856,0.6408608434135856,4.0,4.0,,,1.5525119304656982,energy error
disk m=1,state_by_state,6,False,15.910580462586315,14.681970642123895,8.368153365852866,8.368153365852866,,,0.9894506156139035,,3.4974923133850098,energy error
disk m=1,subspace_ritz,6,False,11.203943362554263,14.681970642123895,29.786609763177406,29.786609763177406,,,0.0017185663936189846,,8.324602842330933,low subspace weight
ellipse split,generic_subspace,6,False,,,30.234700126945064,59.17389616176705,,,,0.0,23.61349320411682,branch drift/missing parity sector
ellipse split,symmetry_sectors,6,False,,,15.09332972007483,38.56650513560693,,,,1.0,39.26419401168823,branch drift/missing parity sector
1D n=5,residual,7,False,9.875662691592748,246.74011002723395,95.9975446673414,95.9975446673414,0.0,4.0,,,1.5744907855987549,wrong nodes/lower-state collapse
1D n=5,penalty,7,False,9.870123795232903,246.74011002723395,95.9997894974824,95.9997894974824,0.0,4.0,,,0.8902068138122559,wrong nodes/lower-state collapse
1D n=5,projection,7,False,244.9709154161234,246.74011002723395,0.7170275683654653,0.7170275683654653,4.0,4.0,,,1.6429719924926758,energy error
disk m=1,state_by_state,7,False,15.3591354598131,14.681970642123895,4.612220213452531,4.612220213452531,,,0.9846246471738047,,3.6106059551239014,energy error
disk m=1,subspace_ritz,7,False,11.237552617597064,14.681970642123895,42.39445529280759,42.39445529280759,,,0.021535844788855604,,8.229396104812622,low subspace weight
ellipse split,generic_subspace,7,False,,,36.6869633557518,76.1698363911637,,,,0.0,23.756618976593018,branch drift/missing parity sector
ellipse split,symmetry_sectors,7,False,,,27.232711841287074,65.12585493760096,,,,0.8,37.613065004348755,branch drift/missing parity sector
1D n=5,residual,8,True,246.7413897707314,246.74011002723395,0.0005186605036746097,0.0005186605036746097,4.0,4.0,,,1.4096789360046387,stable
1D n=5,penalty,8,False,9.869201717754445,246.74011002723395,96.00016320140851,96.00016320140851,0.0,4.0,,,0.9130380153656006,wrong nodes/lower-state collapse
1D n=5,projection,8,False,248.11839697990632,246.74011002723395,0.5585986617742207,0.5585986617742207,4.0,4.0,,,1.5653009414672852,energy error
disk m=1,state_by_state,8,False,15.777177708610271,14.681970642123895,7.45953723231218,7.45953723231218,,,0.9853598991708495,,3.709280014038086,energy error
disk m=1,subspace_ritz,8,False,11.049174603157226,14.681970642123895,33.67140285458248,33.67140285458248,,,6.165026860267429e-06,,8.289309024810791,low subspace weight
ellipse split,generic_subspace,8,False,,,29.58569728704763,57.40052903554733,,,,0.0,23.418463945388794,branch drift/missing parity sector
ellipse split,symmetry_sectors,8,False,,,21.070748413385523,44.916776539136556,,,,0.6,37.57656788825989,branch drift/missing parity sector
1D n=5,residual,9,False,458.40027947070695,246.74011002723395,85.78263559180184,85.78263559180184,6.0,4.0,,,1.3921489715576172,wrong nodes/lower-state collapse
1D n=5,penalty,9,False,9.874638637310685,246.74011002723395,95.99795970090928,95.99795970090928,0.0,4.0,,,0.9160230159759521,wrong nodes/lower-state collapse
1D n=5,projection,9,False,245.1586611021205,246.74011002723395,0.6409371078495898,0.6409371078495898,4.0,4.0,,,1.5736501216888428,energy error
disk m=1,state_by_state,9,False,15.652296046759822,14.681970642123895,6.608958894468679,6.608958894468679,,,0.9940633118144613,,3.7935540676116943,energy error
disk m=1,subspace_ritz,9,False,11.203735343976417,14.681970642123895,51.11314532541589,51.11314532541589,,,0.011647598114652987,,8.18543004989624,low subspace weight
ellipse split,generic_subspace,9,False,,,34.057629089780896,65.86474721904801,,,,0.0,23.55838894844055,branch drift/missing parity sector
ellipse split,symmetry_sectors,9,False,,,21.176775531817924,62.2020676706367,,,,0.4,37.607410192489624,branch drift/missing parity sector
1D n=5,residual,10,False,158.1128804723689,246.74011002723395,35.91926320576044,35.91926320576044,3.0,4.0,,,1.3862600326538086,wrong nodes/lower-state collapse
1D n=5,penalty,10,False,9.870386342839744,246.74011002723395,95.99968309094525,95.99968309094525,0.0,4.0,,,0.9113469123840332,wrong nodes/lower-state collapse
1D n=5,projection,10,False,245.1991780406607,246.74011002723395,0.624516211167759,0.624516211167759,4.0,4.0,,,1.5540649890899658,energy error
disk m=1,state_by_state,10,False,15.752386376499944,14.681970642123895,7.2906816153475305,7.2906816153475305,,,0.9876210725428458,,3.717348098754883,energy error
disk m=1,subspace_ritz,10,False,11.498789041759768,14.681970642123895,37.0182734986006,37.0182734986006,,,0.01771797742346293,,8.303041934967041,low subspace weight
ellipse split,generic_subspace,10,False,,,37.90928820824669,88.41017067399106,,,,0.0,23.351948022842407,branch drift/missing parity sector
