eta,pinn_rank,exact_label,nx,ny,overlap,overlap_weight
0.8,3,psi_13,1,3,0.00046790018677711487,2.1893058478605898e-07
0.8,3,psi_32,3,2,-0.0019747205078601837,3.899521084163582e-06
0.8,3,psi_41,4,1,-0.0004027647664770484,1.6221945711531133e-07
0.8,3,psi_23,2,3,0.0010882298229262233,1.1842441475060393e-06
0.8,3,psi_42,4,2,0.000882667547557503,7.791019995111768e-07
0.8,3,psi_33,3,3,0.0002137529809260741,4.569033685478259e-08
0.8,3,psi_14,1,4,-0.0011330547276884317,1.2838130159371062e-06
0.8,4,psi_11,1,1,1.1589938367251307e-05,1.3432667135668389e-10
0.8,4,psi_21,2,1,-5.5573778809048235e-05,3.0884448911170187e-09
0.8,4,psi_12,1,2,0.00011656824790406972,1.3588156419424655e-08
0.8,4,psi_22,2,2,-0.032950352877378464,0.0010857257547437632
0.8,4,psi_31,3,1,-0.9994218349456787,0.9988440041661875
0.8,4,psi_13,1,3,-0.0012959251180291176,1.6794219115387823e-06
0.8,4,psi_32,3,2,0.001883679535239935,3.5482485914817372e-06
0.8,4,psi_41,4,1,-0.0015074608381837606,2.272438178657686e-06
0.8,4,psi_23,2,3,-0.0019254335202276707,3.70729424081632e-06
0.8,4,psi_42,4,2,-0.0012039798311889172,1.4495674339096935e-06
0.8,4,psi_33,3,3,0.004954098723828793,2.454309416544207e-05
0.8,4,psi_14,1,4,0.0010616095969453454,1.1270149363264587e-06
0.9,1,psi_11,1,1,-0.9991990327835083,0.9983987071154985
0.9,1,psi_21,2,1,0.004220994189381599,1.7816791946793226e-05
0.9,1,psi_12,1,2,0.0008397279307246208,7.051429976390536e-07
0.9,1,psi_22,2,2,0.0007902774959802628,6.245385206528342e-07
0.9,1,psi_31,3,1,0.033348165452480316,0.0011121001390460017
0.9,1,psi_13,1,3,0.007042386569082737,4.959520858839692e-05
0.9,1,psi_32,3,2,0.013549788855016232,0.00018359677801552208
0.9,1,psi_23,2,3,0.0054578622803092,2.9788260670821944e-05
0.9,1,psi_41,4,1,0.009931161068379879,9.862796016610418e-05
0.9,1,psi_33,3,3,0.0016861180774867535,2.8429941712276256e-06
0.9,1,psi_14,1,4,-0.000910724513232708,8.294191390029529e-07
0.9,1,psi_42,4,2,0.0036954758688807487,1.3656541897479925e-05
0.9,2,psi_11,1,1,0.003029809333384037,9.179744596661023e-06
0.9,2,psi_21,2,1,0.9991825819015503,0.9983658319754483
0.9,2,psi_12,1,2,-0.0019136312184855342,3.6619844403624303e-06
0.9,2,psi_22,2,2,-0.0014729718677699566,2.1696461232417145e-06
0.9,2,psi_31,3,1,-0.02775484509766102,0.0007703314263951579
0.9,2,psi_13,1,3,-0.0025246147997677326,6.373679887206269e-06
0.9,2,psi_32,3,2,-0.00020929492893628776,4.3804367278445744e-08
0.9,2,psi_23,2,3,0.002242942340672016,5.0307903435792625e-06
0.9,2,psi_41,4,1,-0.011663143523037434,0.00013602891683897004
0.9,2,psi_33,3,3,-0.004868713207542896,2.3704368297302637e-05
0.9,2,psi_14,1,4,-0.00035508518340066075,1.2608548747068088e-07
0.9,2,psi_42,4,2,-0.00902795884758234,8.150404095364026e-05
0.9,3,psi_11,1,1,0.0007448182441294193,5.547542167880313e-07
0.9,3,psi_21,2,1,0.0018808251479640603,3.5375032372140293e-06
0.9,3,psi_12,1,2,0.9997626543045044,0.999525364941988
0.9,3,psi_22,2,2,0.0004913392476737499,2.4141425630460657e-07
0.9,3,psi_31,3,1,-0.0013130411971360445,1.7240771853764569e-06
