x,psi_pinn_n1,psi_exact_n1,psi_pinn_n2,psi_exact_n2,psi_pinn_n3,psi_exact_n3,psi_pinn_n4,psi_exact_n4,psi_pinn_n5,psi_exact_n5
0.185979971388,7.800569361705e-01,7.800708500397e-01,1.301359553526e+00,1.301334696169e+00,1.390853010694e+00,1.390849895641e+00,1.018858891567e+00,1.018917658176e+00,3.087458559327e-01,3.089353239395e-01
0.187410586552,7.853516808921e-01,7.853646231954e-01,1.306284060465e+00,1.306258714052e+00,1.387270184190e+00,1.387271853723e+00,1.001058775776e+00,1.001122971045e+00,2.776714467866e-01,2.778472083556e-01
0.188841201717,7.906301287270e-01,7.906425322307e-01,1.311104691045e+00,1.311077188393e+00,1.383435087751e+00,1.383441613073e+00,9.829364838839e-01,9.830047341361e-01,2.464570791534e-01,2.466187877666e-01
0.190271816881,7.958920167695e-01,7.959044705335e-01,1.315820921187e+00,1.315789729869e+00,1.379348395921e+00,1.379359870008e+00,9.644981695306e-01,9.645688030251e-01,2.151176569749e-01,2.152658316443e-01
0.191702432046,8.011371462785e-01,8.011503318142e-01,1.320432095599e+00,1.320395957713e+00,1.375010840169e+00,1.375027366568e+00,9.457499152176e-01,9.458211359624e-01,1.836682043473e-01,1.838041723475e-01
0.193133047210,8.063654078174e-01,8.063800101082e-01,1.324937447191e+00,1.324895499750e+00,1.370423247641e+00,1.370444890379e+00,9.266977034396e-01,9.267677919475e-01,1.521239551350e-01,1.522496971267e-01
0.194563662375,8.115767949690e-01,8.115933997775e-01,1.329336128425e+00,1.329287992425e+00,1.365586568541e+00,1.365613274512e+00,9.073474136579e-01,9.074149287706e-01,1.205004215323e-01,1.206183401023e-01
0.195994277539,8.167714016115e-01,8.167903955133e-01,1.333627252200e+00,1.333573080831e+00,1.360501884389e+00,1.360533397329e+00,8.877048475073e-01,8.877688010225e-01,8.881342895133e-02,8.892607421752e-02
0.197424892704,8.219494007841e-01,8.219708923378e-01,1.337809938778e+00,1.337750418739e+00,1.355170393282e+00,1.355206182325e+00,8.677757803185e-01,8.678357580735e-01,5.707911006100e-02,5.718890317292e-02
0.198855507868,8.271110070504e-01,8.271347856068e-01,1.341883364473e+00,1.341819668630e+00,1.349593373200e+00,1.349632597958e+00,8.475660326518e-01,8.476222420207e-01,2.531385771910e-02,2.542285334492e-02
0.200286123033,8.322564280470e-01,8.322819710111e-01,1.345846807401e+00,1.345780501712e+00,1.343772129315e+00,1.343813657479e+00,8.270815518683e-01,8.271347856068e-01,-6.465756367762e-03,-6.356034307115e-03
0.201716738197,8.373858136274e-01,8.374123445792e-01,1.349699685682e+00,1.349632597958e+00,1.337707935130e+00,1.337750418739e+00,8.063284915220e-01,8.063800101082e-01,-3.824308449726e-02,-3.813171234106e-02
0.203147353362,8.424992119751e-01,8.425258026791e-01,1.353441583999e+00,1.353375646126e+00,1.331401979220e+00,1.331443984004e+00,7.853132760209e-01,7.853646231954e-01,-7.000151096977e-02,-6.988813493557e-02
0.204577968526,8.475965410226e-01,8.476222420207e-01,1.357072265514e+00,1.357009343781e+00,1.324855328957e+00,1.324895499750e+00,7.640426397394e-01,7.640954167651e-01,-1.017245482435e-01,-1.016092659927e-01
0.206008583691,8.526775807006e-01,8.527015596574e-01,1.360591667513e+00,1.360533397329e+00,1.318068919843e+00,1.318106156458e+00,7.425236333744e-01,7.425792647451e-01,-1.333959067149e-01,-1.332790872359e-01
0.207439198856,8.577419876222e-01,8.577636529885e-01,1.363999880895e+00,1.363947522031e+00,1.311043574584e+00,1.311077188393e+00,7.207635952785e-01,7.208231208727e-01,-1.649995286218e-01,-1.648816062984e-01
0.208869814020,8.627893296522e-01,8.628084197615e-01,1.367297115320e+00,1.367251442032e+00,1.303780050544e+00,1.303809873386e+00,6.987700909893e-01,6.988340164476e-01,-1.965195831871e-01,-1.964008647994e-01
0.210300429185,8.678191343101e-01,8.678357580735e-01,1.370483653496e+00,1.370444890379e+00,1.296279108891e+00,1.296305532597e+00,6.765508293082e-01,6.766190580590e-01,-2.279404270792e-01,-2.278209464020e-01
0.211731044349,8.728309427674e-01,8.728455663739e-01,1.373559799310e+00,1.373527609049e+00,1.288541594498e+00,1.288565530274e+00,6.541135671960e-01,6.541854252894e-01,-2.592465402964e-01,-2.591259848511e-01
0.213161659514,8.778243606627e-01,8.778377434661e-01,1.376525825254e+00,1.376499348963e+00,1.280568513363e+00,1.280591273511e+00,6.314660177751e-01,6.315403683938e-01,-2.904224516127e-01,-2.903001719851e-01
0.214592274678,8.827990980113e-01,8.828121885097e-01,1.379381924722e+00,1.379359870008e+00,1.272361094318e+00,1.272384211983e+00,6.086157754993e-01,6.086912059568e-01,-3.214526690942e-01,-3.213277657185e-01
0.216022889843,8.877549927773e-01,8.877688010225e-01,1.382128174123e+00,1.382108941059e+00,1.263920824173e+00,1.263945837694e+00,5.855702700534e-01,5.856453225273e-01,-3.523216297151e-01,-3.521930979916e-01
0.217453505007,8.926920156342e-01,8.927074808825e-01,1.384764508646e+00,1.384746339997e+00,1.255249449740e+00,1.255277684694e+00,5.623367561611e-01,5.624101662316e-01,-3.830136781245e-01,-3.828805826818e-01
0.218884120172,8.976102564879e-01,8.976281283298e-01,1.387290713830e+00,1.387271853723e+00,1.246348945728e+00,1.246381328808e+00,5.389223408796e-01,5.389932463667e-01,-4.135130789004e-01,-4.133747234748e-01
0.220314735336,9.025098959344e-01,9.025306439689e-01,1.389706433238e+00,1.389685278180e+00,1.237221453204e+00,1.237258387346e+00,5.153340440324e-01,5.154021309732e-01,-4.438040602576e-01,-4.436601216894e-01
0.221745350501,9.073911666371e-01,9.074149287706e-01,1.392011190687e+00,1.391986418368e+00,1.227869198347e+00,1.227910518813e+00,4.915788821216e-01,4.916444443891e-01,-4.738708813492e-01,-4.737214840535e-01
0.223175965665,9.122543104744e-01,9.122808840737e-01,1.394204423834e+00,1.394175088358e+00,1.218294404504e+00,1.218339422601e+00,4.676639622374e-01,4.677278647866e-01,-5.036979110822e-01,-5.035436304269e-01
0.224606580830,9.170995372512e-01,9.171284115876e-01,1.396285524842e+00,1.396251111309e+00,1.208499211667e+00,1.208546838684e+00,4.435965707782e-01,4.436601216894e-01,-5.332697045404e-01,-5.331115014667e-01
0.226037195994,9.219269899511e-01,9.219574133936e-01,1.398253883219e+00,1.398214319483e+00,1.198485616112e+00,1.198534547304e+00,4.193842425241e-01,4.194489934757e-01,-5.625710639777e-01,-5.624101662316e-01
0.227467811159,9.267367201671e-01,9.267677919475e-01,1.400108926087e+00,1.400064554254e+00,1.188255439424e+00,1.188304368643e+00,3.950347986839e-01,3.951023048636e-01,-5.915870746974e-01,-5.914248297223e-01
0.228898426323,9.315286757434e-01,9.315594500811e-01,1.401850151746e+00,1.401801666128e+00,1.177810331097e+00,1.177858162492e+00,3.705563474985e-01,3.706279243828e-01,-6.203031112636e-01,-6.201408403519e-01
0.230329041488,9.363027010356e-01,9.363322910043e-01,1.403477153594e+00,1.403425514748e+00,1.167151803331e+00,1.167197827918e+00,3.459572470245e-01,3.460337618311e-01,-6.487048153764e-01,-6.485436973447e-01
0.231759656652,9.410585487291e-01,9.410862183074e-01,1.404989632849e+00,1.404935968911e+00,1.156281291469e+00,1.156325302913e+00,3.212460358429e-01,3.213277657185e-01,-6.767780522009e-01,-6.766190580590e-01
0.233190271817,9.457959009865e-01,9.458211359624e-01,1.406387400036e+00,1.406332906573e+00,1.145200229729e+00,1.145242564045e+00,2.964313425988e-01,2.965179206979e-01,-7.045088559479e-01,-7.043527452293e-01
0.234620886981,9.505143968951e-01,9.505369483255e-01,1.407670366549e+00,1.407616214865e+00,1.133910129995e+00,1.133951626097e+00,2.715217885814e-01,2.716122449850e-01,-7.318833773231e-01,-7.317307541256e-01
0.236051502146,9.552136627805e-01,9.552335601387e-01,1.408838528653e+00,1.408785790098e+00,1.122412651645e+00,1.122454541704e+00,2.465258984231e-01,2.466187877666e-01,-7.588878448410e-01,-7.587392596255e-01
