mode_index,epsilon,c12,c21,w12,w21,w_subspace,seed_id,seed,training_seed,selected_doublet_rank
1,19.93142,0.0015123956836760044,0.0008386562112718821,2.287340704001809e-06,7.033442407049077e-07,2.9906849447067165e-06,7,1007,1007000,0
2,49.72858,-0.9632070064544678,-0.26793622970581055,0.9277677372829771,0.07178982318896487,0.999557560471942,7,1007,1007000,1
3,50.398594,-0.267767071723938,0.9614158868789673,0.07169920469961255,0.9243205075432712,0.9960197122428838,7,1007,1007000,2
1,20.011042,-0.0024707233533263206,-0.003550843568518758,6.104473888672059e-06,1.2608490048091026e-05,1.8712963936763085e-05,8,1008,1008000,0
2,49.823826,-0.4551766812801361,0.8900169730186462,0.2071858111811986,0.7921302122612737,0.9993160234424723,8,1008,1008000,1
3,50.222954,-0.8891981244087219,-0.45508867502212524,0.7906733044519889,0.20710570213339352,0.9977790065853824,8,1008,1008000,2
1,19.82,-0.0004075748147442937,-0.0018597680609673262,1.6611722961384532e-07,3.458737240594168e-06,3.6248544702080135e-06,9,1009,1009000,0
2,49.834904,-0.9970952272415161,-0.0694163590669632,0.9941988921878107,0.0048186309061135635,0.9990175230939242,9,1009,1009000,1
3,50.30815,0.06912147253751755,-0.9964809417724609,0.0047777779657547925,0.9929742673157307,0.9977520452814854,9,1009,1009000,2
1,19.799314,0.001728525385260582,-2.5827321223914623e-06,2.9878000074902433e-06,6.6705052160327075e-12,2.9878066779954594e-06,10,1010,1010000,0
2,49.955956,0.9730340242385864,-0.22732236981391907,0.946795212325938,0.05167545981781618,0.9984706721437542,10,1010,1010000,1
3,50.346714,-0.22731371223926544,-0.971998393535614,0.051671523771995576,0.9447808770358144,0.99645240080781,10,1010,1010000,2
1,19.98154,-0.002182695083320141,-0.0038478553760796785,4.7641578267499166e-06,1.4805990995225284e-05,1.95701488219752e-05,11,1011,1011000,0
2,49.75745,0.9405753016471863,-0.33834993839263916,0.8846818980686955,0.11448068081030272,0.9991625788789982,11,1011,1011000,1
3,50.214226,0.3381904661655426,0.9398507475852966,0.11437279140526702,0.883319427736641,0.997692219141908,11,1011,1011000,2
1,19.810688,0.0013915885938331485,0.0018970866221934557,1.9365188144865195e-06,3.5989376521053753e-06,5.535456466591895e-06,12,1012,1012000,0
2,50.024124,0.4718088209629059,-0.8805356621742249,0.22260356353840738,0.7753430523606006,0.997946615899008,12,1012,1012000,1
3,50.20732,0.8802931308746338,0.47176289558410645,0.7749159962650651,0.22256022964990052,0.9974762259149657,12,1012,1012000,2
1,19.931978,0.0010482585057616234,-0.0018832758069038391,1.0988458949015914e-06,3.5467277648693063e-06,4.645573659770898e-06,13,1013,1013000,0
2,49.815857,0.43945640325546265,-0.8975449800491333,0.1931219303622278,0.8055869912113991,0.9987089215736269,13,1013,1013000,1
3,50.195763,-0.8971150517463684,-0.439216285943985,0.8048154160698893,0.19291094583842838,0.9977263619083176,13,1013,1013000,2
1,19.931805,4.5569147914648056e-05,-0.0012811236083507538,2.0765472416670733e-09,1.6412776998736556e-06,1.6433542471153226e-06,14,1014,1014000,0
2,49.763203,-0.9763469099998474,0.21479064226150513,0.9532532886662501,0.04613502000310987,0.99938830866936,14,1014,1014000,1
3,50.25538,0.21479633450508118,0.9753574132919312,0.04613746531681873,0.951322083663527,0.9974595489803457,14,1014,1014000,2
1,19.990665,-0.0036307277623564005,-0.002217470435425639,1.3182184084345515e-05,4.917175131986774e-06,1.809935921633229e-05,15,1015,1015000,0
2,49.829803,0.3246721029281616,-0.9453001022338867,0.10541197441979477,0.8935922832833967,0.9990042577031915,15,1015,1015000,1
3,50.459576,0.9439860582351685,0.32435142993927,0.8911096781423709,0.10520385010364919,0.99631352824602,15,1015,1015000,2
1,19.95528,0.0032582473941147327,-0.0007071137079037726,1.0616176081255447e-05,5.000097959054218e-07,1.1116185877160868e-05,16,1016,1016000,0
2,49.875263,0.36419451236724854,-0.9306447505950928,0.13263764283841795,0.8660996518102024,0.9987372946486204,16,1016,1016000,1
