case,method,script,seed,seed_argument_available,returncode,runtime_s,log_path,note,success,rel_error_percent,max_rel_error_percent,subspace_weight,parity_score,nodes,nodes_expected,failure_mode,parsed_rows
ellipse split,symmetry sectors,train_pinn_ellipse_2d_symmetry_v2.py,8,True,0,439.3729250431061,data/ablation_native_logs/ellipse_split__symmetry_sectors__seed8.log,native symmetry-sector ellipse script,True,1.6187064202235768,1.8136728336113348,,1.0,,,stable branch tracking,5
1D n=5,baseline state-by-state,train_pinn_1d.py,9,True,0,5.936217784881592,data/ablation_native_logs/1D_n5__baseline_state-by-state__seed9.log,native baseline 1D script,False,59.6522,118.3654,,,,,energy error,5
1D n=5,projected Rayleigh,train_pinn_1d_projected_v2.py,9,True,0,31.381184101104736,data/ablation_native_logs/1D_n5__projected_Rayleigh__seed9.log,native projected 1D script,True,0.0237,0.0254,,,4.0,4.0,stable,5
square doublet,subspace Ritz,train_pinn_square_2d_subspace.py,9,True,0,40.00366497039795,data/ablation_native_logs/square_doublet__subspace_Ritz__seed9.log,native square subspace script,True,0.0342,0.0394,1.0,,,,stable,4
disk m=1,subspace Ritz,train_pinn_disk_2d_subspace.py,9,True,0,103.2238929271698,data/ablation_native_logs/disk_m1__subspace_Ritz__seed9.log,native disk subspace script,True,0.0004,0.0004,1.0,,,,stable,3
ellipse split,generic subspace,train_pinn_ellipse_2d_splitting.py,9,True,0,271.87704396247864,data/ablation_native_logs/ellipse_split__generic_subspace__seed9.log,native generic ellipse script,False,668.5515505950885,1976.5696979832367,,0.0,,,branch drift/generic subspace instability,5
ellipse split,symmetry sectors,train_pinn_ellipse_2d_symmetry_v2.py,9,True,0,625.3361370563507,data/ablation_native_logs/ellipse_split__symmetry_sectors__seed9.log,native symmetry-sector ellipse script,True,1.5609429975138638,1.7962643652052805,,1.0,,,stable branch tracking,5
1D n=5,baseline state-by-state,train_pinn_1d.py,10,True,0,5.588769912719727,data/ablation_native_logs/1D_n5__baseline_state-by-state__seed10.log,native baseline 1D script,False,27.9919,115.6958,,,,,energy error,5
1D n=5,projected Rayleigh,train_pinn_1d_projected_v2.py,10,True,0,38.758196115493774,data/ablation_native_logs/1D_n5__projected_Rayleigh__seed10.log,native projected 1D script,True,0.0355,0.0355,,,4.0,4.0,stable,5
square doublet,subspace Ritz,train_pinn_square_2d_subspace.py,10,True,0,46.779895067214966,data/ablation_native_logs/square_doublet__subspace_Ritz__seed10.log,native square subspace script,True,0.0342,0.0394,1.0,,,,stable,4
disk m=1,subspace Ritz,train_pinn_disk_2d_subspace.py,10,True,0,143.93912386894226,data/ablation_native_logs/disk_m1__subspace_Ritz__seed10.log,native disk subspace script,True,0.0004,0.0004,1.0,,,,stable,3
ellipse split,generic subspace,train_pinn_ellipse_2d_splitting.py,10,True,0,368.6399838924408,data/ablation_native_logs/ellipse_split__generic_subspace__seed10.log,native generic ellipse script,False,512.0609724892969,1976.5696979832367,,0.0,,,branch drift/generic subspace instability,5
ellipse split,symmetry sectors,train_pinn_ellipse_2d_symmetry_v2.py,10,True,0,627.1620757579803,data/ablation_native_logs/ellipse_split__symmetry_sectors__seed10.log,native symmetry-sector ellipse script,True,1.5868109005621664,2.1360428807065133,,1.0,,,stable branch tracking,5
1D n=5,baseline state-by-state,train_pinn_1d.py,11,True,0,5.042073011398315,data/ablation_native_logs/1D_n5__baseline_state-by-state__seed11.log,native baseline 1D script,False,22.1122,125.3924,,,,,energy error,5
1D n=5,projected Rayleigh,train_pinn_1d_projected_v2.py,11,True,0,29.305305242538452,data/ablation_native_logs/1D_n5__projected_Rayleigh__seed11.log,native projected 1D script,True,0.0329,0.0329,,,4.0,4.0,stable,5
square doublet,subspace Ritz,train_pinn_square_2d_subspace.py,11,True,0,33.74369478225708,data/ablation_native_logs/square_doublet__subspace_Ritz__seed11.log,native square subspace script,True,0.0342,0.0394,1.0,,,,stable,4
disk m=1,subspace Ritz,train_pinn_disk_2d_subspace.py,11,True,0,106.28235101699829,data/ablation_native_logs/disk_m1__subspace_Ritz__seed11.log,native disk subspace script,True,0.00045,0.0005,1.0,,,,stable,3
ellipse split,generic subspace,train_pinn_ellipse_2d_splitting.py,11,True,0,283.86572909355164,data/ablation_native_logs/ellipse_split__generic_subspace__seed11.log,native generic ellipse script,False,584.406086942914,3093.059749182741,,0.0,,,branch drift/generic subspace instability,5
