x,psi_pinn_n1,psi_exact_n1,psi_pinn_n2,psi_exact_n2,psi_pinn_n3,psi_exact_n3,psi_pinn_n4,psi_exact_n4,psi_pinn_n5,psi_exact_n5
0.078683834049,3.464058828285e-01,3.460337618311e-01,6.727921256525e-01,6.710308685666e-01,9.567407896156e-01,9.552335601387e-01,1.180263759655e+00,1.181364117841e+00,1.336993875986e+00,1.335675239897e+00
0.080114449213,3.525321908192e-01,3.521930979916e-01,6.839438654956e-01,6.821935800575e-01,9.706563915843e-01,9.692072455292e-01,1.194022550340e+00,1.195148606419e+00,1.347076752061e+00,1.345780501712e+00
0.081545064378,3.586532471594e-01,3.583453199612e-01,6.950246348560e-01,6.933011714367e-01,9.843855972926e-01,9.830047341361e-01,1.207384602168e+00,1.208546838684e+00,1.356480873383e+00,1.355206182325e+00
0.082975679542,3.647697104728e-01,3.644903034672e-01,7.060344818145e-01,7.043527452293e-01,9.979276373522e-01,9.966235176487e-01,1.220346439999e+00,1.221554484506e+00,1.365202024974e+00,1.363947522031e+00
0.084406294707,3.708821490924e-01,3.706279243828e-01,7.169737588290e-01,7.153474084862e-01,1.011281817693e+00,1.010061120244e+00,1.232904896318e+00,1.234167339983e+00,1.373236151866e+00,1.372000106701e+00
0.085836909871,3.769910252826e-01,3.767580587299e-01,7.278430822698e-01,7.262842728570e-01,1.024447478051e+00,1.023315099035e+00,1.245057075673e+00,1.246381328808e+00,1.380579366524e+00,1.379359870008e+00
0.087267525036,3.830966828105e-01,3.828805826818e-01,7.386432875256e-01,7.371624546612e-01,1.037423953845e+00,1.036383044520e+00,1.256800318498e+00,1.258192503578e+00,1.387227964640e+00,1.386023095477e+00
0.088698140200,3.891993380609e-01,3.889953725653e-01,7.493753809052e-01,7.479810749595e-01,1.050210542142e+00,1.049262581014e+00,1.268132165407e+00,1.269597047079e+00,1.393178447680e+00,1.391986418368e+00
0.090128755365,3.952990747903e-01,3.951023048636e-01,7.600404895136e-01,7.587392596255e-01,1.062806472256e+00,1.061951367086e+00,1.279050322844e+00,1.280591273511e+00,1.398427550357e+00,1.397246827371e+00
0.091559370529,4.013958425174e-01,4.012012562186e-01,7.706398102397e-01,7.694361394157e-01,1.075210881288e+00,1.074447095980e+00,1.289552630876e+00,1.291171629684e+00,1.402972271159e+00,1.401801666128e+00
0.092989985694,4.074894584548e-01,4.072921034334e-01,7.811745589418e-01,7.800708500397e-01,1.087422794764e+00,1.086747496038e+00,1.299637033698e+00,1.301334696169e+00,1.406809904078e+00,1.405648634574e+00
