eta_Ly_over_Lx,epsilon_1_2,epsilon_2_1,splitting
1.100000,42.496395809649,47.635115456497,5.138719646848
1.105000,42.201798749573,47.561466191478,5.359667441905
1.110000,41.911173757763,47.488809943526,5.577636185763
1.115000,41.624449746347,47.417128940672,5.792679194325
1.120000,41.341557210686,47.346405806756,6.004848596071
1.125000,41.062428187248,47.276623550897,6.214195363649
1.130000,40.786996212788,47.207765557282,6.420769344494
1.135000,40.515196284772,47.139815575278,6.624619290506
1.140000,40.246964823033,47.072757709843,6.825792886811
1.145000,39.982239632574,47.006576412229,7.024336779654
1.150000,39.720959867522,46.941256470966,7.220296603443
1.155000,39.463065996155,46.876783003124,7.413717006969
1.160000,39.208499766991,46.813141445833,7.604641678842
1.165000,38.957204175893,46.750317548058,7.793113372166
1.170000,38.709123434151,46.688297362623,7.979173928472
1.175000,38.464202937518,46.627067238465,8.162864300946
1.180000,38.222389236164,46.566613813126,8.344224576962
1.185000,37.983630005503,46.506924005461,8.523293999958
1.190000,37.747874017894,46.447985008559,8.700110990664
1.195000,37.515071115158,46.389784282875,8.874713167717
1.200000,37.285172181893,46.332309549558,9.047137367665
1.205000,37.058129119574,46.275548783979,9.217419664405
1.210000,36.833894821387,46.219490209432,9.385595388045
1.215000,36.612423147796,46.164122291034,9.551699143238
1.220000,36.393668902808,46.109433729787,9.715764826979
1.225000,36.177587810907,46.055413456812,9.877825645905
1.230000,35.964136494656,46.002050627749,10.037914133093
1.235000,35.753272452923,45.949334617316,10.196062164393
1.240000,35.544954039719,45.897255014015,10.352300974296
1.245000,35.339140443642,45.845801614996,10.506661171354
1.250000,35.135791667878,45.794964421055,10.659172753177
1.255000,34.934868510775,45.744733631779,10.809865121004
1.260000,34.736332546943,45.695099640821,10.958767093878
1.265000,34.540146108885,45.646053031306,11.105906922421
1.270000,34.346272269127,45.597584571367,11.251312302240
1.275000,34.154674822839,45.549685209795,11.395010386956
1.280000,33.965318270936,45.502346071819,11.537027800883
1.285000,33.778167803628,45.455558454992,11.677390651364
1.290000,33.593189284424,45.409313825191,11.816124540767
1.295000,33.410349234564,45.363603812726,11.953254578162
1.300000,33.229614817869,45.318420208552,12.088805390683
1.305000,33.050953825999,45.273754960585,12.222801134586
1.310000,32.874334664103,45.229600170111,12.355265506008
1.315000,32.699726336845,45.185948088296,12.486221751451
1.320000,32.527098434811,45.142791112788,12.615692677976
1.325000,32.356421121264,45.100121784401,12.743700663137
1.330000,32.187665119252,45.057932783898,12.870267664646
1.335000,32.020801699050,45.016216928848,12.995415229798
1.340000,31.855802665935,44.974967170569,13.119164504634
1.345000,31.692640348275,44.934176591154,13.241536242879
1.350000,31.531287585922,44.893838400566,13.362550814644
1.355000,31.371717718913,44.853945933813,13.482228214900
1.360000,31.213904576456,44.814492648199,13.600588071743
1.365000,31.057822466196,44.775472120634,13.717649654438
1.370000,30.903446163760,44.736878045025,13.833431881265
1.375000,30.750750902568,44.698704229727,13.947953327159
1.380000,30.599712363890,44.660944595058,14.061232231168
1.385000,30.450306667173,44.623593170878,14.173286503706
1.390000,30.302510360593,44.586644094233,14.284133733640
1.395000,30.156300411859,44.550091607050,14.393791195191
1.400000,30.011654199231,44.513930053893,14.502275854662
1.405000,29.868549502776,44.478153879779,14.609604377003
1.410000,29.726964495832,44.442757628043,14.715793132211
1.415000,29.586877736682,44.407735938256,14.820858201573
1.420000,29.448268160441,44.373083544195,14.924815383754
1.425000,29.311115071133,44.338795271868,15.027680200735
1.430000,29.175398133965,44.304866037576,15.129467903611
1.435000,29.041097367792,44.271290846033,15.230193478241
1.440000,28.908193137759,44.238064788525,15.329871650766
1.445000,28.776666148127,44.205183041117,15.428516892990
1.450000,28.646497435266,44.172640862902,15.526143427635
